Name,Company,Level Audition,Re-Evaluation,note,ep1
Anzardi Timothee,ESteem,?,X,,1
Baek Jin,VINE Ent.,?,X,,2
Byeon Seongtae,Urban Works,?,D,,3
Cha Junho,Woolim Ent.,?,X,,4
Cho Seungyoun,Yuehua Ent.,?,X,,5
Choi Byungchan,Plan A Ent.,?,X,,6
Choi Byunghoon,Enfant Terrible,?,X,,7
Choi Jinhwa,WUZO Ent.,?,X,,8
Choi Junseong,Jellyfish Ent.,?,X,,9
Choi Sihyuk,Around Us Ent.,?,X,,10
Choi Soohwan,Individual,?,X,,11
Gwon Huijun,Cre.ker Ent.,?,X,,12
Ham Wonjin,Starship Ent.,?,X,,13
Han Gichan,Fantagio,?,X,,14
Han Seungwoo,Plan A Ent.,?,X,,15
Heo Jinho,Astory Ent.,?,X,,16
Hidaka Mahiro,YG Ent.,?,X,,17
Hong Seongjun,BrandNew Music,?,X,,18
Hong Sunghyeon,Urban Works,?,X,,19
Hwang Geumryul,Yuehua Ent.,?,X,,20
Hwang Yunseong,Woolim Ent.,?,X,,21
Im Siu,Individual,?,X,,101
Jeon Hyunwoo,Astory Ent.,?,X,,22
Jeong Jaehun,Around Us Ent.,?,X,,24
Joo Changuk,Woolim Ent.,?,X,,25
Jung Myunghoon,AAP.Y,?,X,,26
Jung Youngbin,Individual,?,X,,27
Kang Hyeonsu,AAP.Y,?,X,,28
Kang Minhee,Starship Ent.,?,X,,29
Kang Seokhwa,Individual,?,X,,30
Keum Donghyun,C9 Ent.,?,X,,31
Kim Dongbin,MLD Ent.,?,X,,32
Kim Dongkyu,Urban Works,?,X,,33
Kim Dongyoon,Woolim Ent.,?,X,,34
Kim Hyeonbin,Source Music,?,X,,35
Kim Hyeongmin,Kiwi Media,?,X,,36
Kim Jingon,ESteem,?,X,,37
Kim Junjae,Think About Ent.,?,X,,38
Kim Kookheon,Music Works,?,X,,39
Kim Kwanwoo,Krazy Ent.,?,X,,40
Kim Mingyu,Jellyfish Ent.,?,X,,41
Kim Minseo (Urban Works),Urban Works,?,X,,42
Kim Minseo (Woolim),Woolim Ent.,?,X,,43
Kim Seunghwan,ESteem,?,X,,44
Kim Sihoon,BrandNew Music,?,X,,45
Kim Sunghyun,Stone Music,?,X,,46
Kim Sungyeon,Individual,?,X,,47
Kim Wooseok,TOP Media,?,X,,48
Kim Yeongsang,MBK Ent.,?,X,,49
Kim Yohan,OUI Ent.,?,X,,50
Koo Jungmo,Starship Ent.,?,X,,51
Kwon Taeeun,A_CONIC,?,X,,52
Lee Eugene,Individual,?,X,,53
Lee Eunsang,BrandNew Music,?,X,,54
Lee Gyuhyung,WM Ent.,?,X,,55
Lee Hamin,Individual,?,X,,56
Lee Hangyul,MBK Ent.,?,X,,57
Lee Hwan,DSP Media,?,X,,58
Lee Hyeop,Individual,?,X,,59
Lee Jaebin,C9 Ent.,?,X,,60
Lee Jinhyuk,TOP Media,?,X,,61
Lee Jinwoo,Maroo Ent.,?,X,,62
Lee Junhyuk,DSP Media,?,X,,63
Lee Midam,AAP.Y,?,X,,64
Lee Sangho,Gost Ent.,?,X,,65
Lee Sejin,iME Korea,?,X,,66
Lee Taeseung,Maroo Ent.,?,X,,67
Lee Wonjun,E Ent.,?,X,,68
Lee Woojin,Maroo Ent.,?,X,,69
Lim Dahun,Kiwi Media,?,X,,70
Moon Hyunbin,Starship Ent.,?,X,,71
Moon Junho,Woolim Ent.,?,X,,72
Nam Dohyun,MBK Ent.,?,X,,73
Nam Donghyun,The South,?,X,,74
Oh Saebom,NEST Ent.,?,X,,75
Park Jinyeol,Individual,?,X,,76
Park Sion,Plasma Ent.,?,X,,77
Park Sunho,sidusHQ,?,X,,78
Park Yunsol,NEST Ent.,?,X,,79
Peak,Chandelier Music,?,X,,80
Son Dongpyo,DSP Media,?,X,,81
Song Changha,Kiwi Media,?,X,,82
Song Hyungjun,Starship Ent.,?,X,,83
Song Yuvin,Music Works,?,X,,84
Steven Kim,DS Ent.,?,X,,85
Sung Minseo,SF Ent.,?,X,,86
Tony,HONGYI Ent.,?,X,,87
Tsai Chiahao,Source Music,?,X,,88
Uehara Jun,JH1,?,X,,89
Wang Jyunhao,YG Ent.,?,X,,90
Wei Ziyue,HONGYI Ent.,?,X,,91
Won Hyuk,E Ent.,?,X,,92
Woo Hyunsik,Happy Face Ent.,?,X,,93
Woo Jewon,Around Us Ent.,?,X,,94
Yoon Geunmin,Million Marlet,?,X,,95
Yoon Minguk,Source Music,?,X,,96
Yu Seongjun,Yuehua Ent.,?,X,,97
Yun Hyunjo,Gost Ent.,?,X,,98
Yun Junghwan,BrandNew Music,?,X,,99
Yun Seobin,JYP Ent.,?,X,,100
Yuri,ESteem,?,X,,101
