Name,Company,Level Audition,Re-Evaluation,note,ep1,ep2,ep3,ep5,ep6,ep8,ep11,ep12
Anzardi Timothee,ESteem,X,F,,49,53,61,61,-
Baek Jin,VINE Ent.,B,F,,30,32,42,45,30,36,-
Byeon Seongtae,Urban Works,D,D,,60,67,70,66,-
Cha Junho,Woolim Ent.,C,C,,4,11,11,11,15,13,11,9
Cho Seungyeon,Yuehua Ent.,B,B,,67,41,38,28,19,17,6,5
Choi Byungchan,Plan A Ent.,A,A,,20,25,20,19,14,16,31,-
Choi Byunghoon,Enfant Terrible,D,F,,91,94,97,98,-
Choi Jinhwa,WUZO Ent.,A,D,,75,92,81,74,-
Choi Junseong,Jellyfish Ent.,B,D,,59,63,40,39,41,46,-
Choi Sihyuk,Around Us Ent.,B,C,,69,70,74,79,-
Choi Soohwan,Individual,A,A,,56,56,24,24,28,29,28,-
Gwon Huijun,Cre.ker Ent.,X,F,,44,46,50,53,52,56,-
Ham Wonjin,Starship Ent.,D,A,,19,15,12,10,10,14,18,19
Han Gichan,Fantagio,X,C,,16,22,25,33,46,57,-
Han Seungwoo,Plan A Ent.,A,A,,39,39,34,30,13,9,4,3
Heo Jinho,Astory Ent.,C,B,,94,89,93,83,-
Hidaka Mahiro,YG Ent.,D,D,,47,45,53,56,58,49,-
Hong Seongjun,BrandNew Music,B,F,,53,23,33,37,56,51,-
Hong Sunghyeon,Urban Works,B,C,,86,98,88,85,-
Hwang Geumryul,Yuehua Ent.,C,B,,66,68,77,84,-
Hwang Yunseong,Woolim Ent.,B,D,,13,24,22,15,21,18,13,15
Im Siu,Individual,D,-,Withdrew,51,101,101,101,-
Jeon Hyunwoo,Astory Ent.,B,B,,35,51,63,64,-
Jeong Jaehun,Around Us Ent.,A,C,,65,66,59,60,47,39,-
Joo Changuk,Woolim Ent.,D,B,,24,31,37,38,31,30,29,-
Jung Myunghoon,AAP.Y,B,C,,90,69,71,71,-
Jung Youngbin,Individual,B,B,,62,61,62,68,-
Kang Hyeonsu,AAP.Y,A,A,,79,59,69,40,22,20,26,-
Kang Minhee,Starship Ent.,X,D,,11,20,18,22,23,23,14,10
Kang Seokhwa,Individual,C,B,,21,29,35,35,34,35,-
Keum Donghyun,C9 Ent.,B,C,,23,26,30,17,16,19,10,14
Kim Dongbin,MLD Ent.,B,C,,18,16,17,26,37,42,-
Kim Dongkyu,Urban Works,C,B,,76,78,84,99,-
Kim Dongyun,Woolim Ent.,D,B,,15,21,26,32,29,31,23,-
Kim Hyeonbin,Source Music,D,A,,28,27,29,23,27,25,30,-
Kim Hyeongmin,Kiwi Media,D,C,,97,79,89,90,-
Kim Jingon,ESteem,X,D,,61,55,65,62,-
Kim Junjae,Think About Ent.,X,F,,87,86,87,94,-
Kim Kookheon,Music Works,A,A,,29,13,15,16,18,22,21,-
Kim Kwanwoo,Krazy Ent.,D,D,,80,75,80,80,-
Kim Mingyu,Jellyfish Ent.,X,D,,1,3,2,2,3,10,5,17
Kim Minseo (Urban Works),Urban Works,D,B,,89,87,94,82,-
Kim Minseo (Woolim),Woolim Ent.,X,F,,48,54,48,47,54,52,-
Kim Seunghwan,ESteem,X,F,,81,80,83,89,-
Kim Sihoon,BrandNew Music,B,A,,43,17,19,18,25,24,27,-
Kim Sunghyun,Stone Music,C,C,,22,33,39,42,44,-
Kim Sungyeon,Individual,C,B,,54,52,56,59,49,45,-
Kim Wooseok,TOP Media,B,A,,5,7,6,4,1,1,2,2
Kim Yeongsang,MBK Ent.,D,F,,93,50,58,65,-
Kim Yohan,OUI Ent.,A,C,,3,1,1,1,5,3,1,1
Koo Jungmo,Starship Ent.,X,F,,2,9,9,9,8,5,15,12
Kwon Taeeun,A_CONIC,X,F,,74,57,66,46,32,34,-
Lee Eugene,Individual,X,F,,7,12,16,27,53,55,-
Lee Eunsang,BrandNew Music,A,C,X,14,2,3,5,6,6,9,13
Lee Gyuhyung,WM Ent.,C,C,,85,97,86,76,-
Lee Hamin,Individual,A,B,,50,58,67,63,-
Lee Hangyul,MBK Ent.,C,D,,41,28,28,21,17,15,16,7
Lee Hwan,DSP Media,B,B,,46,49,60,67,-
Lee Hyeop,Individual,C,C,,40,48,52,49,40,26,24,-
Lee Jaebin,C9 Ent.,B,C,,73,88,91,95,-
Lee Jinhyuk,TOP Media,B,A,,38,35,32,25,11,2,3,11
Lee Jinwoo,Maroo Ent.,C,B,,10,19,14,12,4,8,22,-
Lee Junhyuk,DSP Media,C,A,,68,65,75,75,-
Lee Midam,AAP.Y,B,C,,32,30,36,36,38,37,-
Lee Sangho,Gost Ent.,X,X,,95,90,96,88,-
Lee Sejin,iME Korea,X,F,,8,14,13,13,20,21,20,18
Lee Taeseung,Maroo Ent.,X,F,,26,47,47,48,55,53,-
Lee Wonjun,E Ent.,B,D,,77,83,43,44,36,47,-
Lee Woojin,Maroo Ent.,X,F,,52,71,54,50,42,41,-
